reward_today,future_reward,delay,key_resp.keys,,k,,
27,50,21,l,,0.102564,,
15,35,13,l,,0.246753,,
67,75,119,l,,0.246753,,
11,30,7,l,,0.102564,,
49,60,89,l,,0.246753,,
40,55,62,l,,0.102564,,
78,80,162,l,,0.102564,,
67,75,119,l,,0.246753,,
11,30,7,l,,0.102564,,
78,80,162,l,,0.246753,,
49,60,89,l,,0.102564,,
40,55,62,l,,0.246753,,
15,35,13,l,,0.102564,,
27,50,21,l,,0.246753,,
67,75,119,l,,0.102564,,
78,80,162,l,,0.246753,,
11,30,7,l,,0.040564,,
27,50,21,l,,0.246753,,
40,55,62,l,,0.102564,,
15,35,13,l,,0.102564,,
49,60,89,l,,0.246753,,
67,75,119,l,,0.102564,,
49,60,89,l,,0.246753,,
78,80,162,l,,0.102564,,
15,35,13,l,,0.246753,,
40,55,62,l,,0.246753,,
11,30,7,l,,0.102564,,
27,50,21,l,,0.102564,,
78,80,162,l,,0.246753,,
67,75,119,l,,0.040564,,
15,35,13,l,,0.246753,,
27,50,21,l,,0.246753,,
40,55,62,l,,0.102564,,
49,60,89,l,,0.040564,,
11,30,7,l,,0.246753,,
40,55,62,l,,0.102564,,
15,35,13,l,,0.102564,,
78,80,162,l,,0.246753,,
27,50,21,l,,0.102564,,
67,75,119,l,,0.246753,,
49,60,89,l,,0.102564,,
11,30,7,l,,0.040564,,
27,50,21,l,,0.102564,,
15,35,13,l,,0.246753,,
11,30,7,l,,0.246753,,
78,80,162,l,,0.102564,,
67,75,119,l,,0.102564,,
49,60,89,l,,0.246753,,
40,55,62,l,,0.040564,,
27,50,21,l,,0.246753,,
15,35,13,l,,0.102564,,
11,30,7,l,,0.040564,,
67,75,119,l,,0.246753,,
78,80,162,l,,0.102564,,
49,60,89,l,,0.102564,,
40,55,62,l,,0.246753,,
67,75,119,l,,0.040564,,
40,55,62,l,,0.246753,,
78,80,162,l,,0.102564,,
27,50,21,l,,0.246753,,
49,60,89,l,,0.102564,,
11,30,7,l,,0.102564,,
15,35,13,l,,0.040564,,
67,75,119,l,,0.246753,,
15,35,13,l,,0.246753,,
11,30,7,l,,0.102564,,
27,50,21,l,,0.246753,,
40,55,62,l,,0.102564,,
49,60,89,l,,0.102564,,
78,80,162,l,,0.246753,,
